"","artist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","duration_ms","track_name"
"1483","Ciara",0.734,0.883,5,-4.871,0,0.12,0.00794,0.00108,0.0994,0.563,217173,"G Is For Girl (A-Z)"
"1484","Ciara",0.704,0.644,7,-4.828,1,0.0366,0.0457,3.28e-05,0.165,0.405,212946,"Keep Dancin' On Me"
"1485","Ciara",0.657,0.779,11,-3.74,1,0.0385,0.0968,1.62e-06,0.303,0.571,218026,"Tell Me What Your Name Is"
"1486","Ciara",0.573,0.58,1,-5.83,0,0.0494,0.475,0,0.0622,0.219,227520,"I Don't Remember"
"1487","Ciara",0.735,0.866,5,-4.604,0,0.0829,0.222,0.000331,0.152,0.808,218080,"Echo"
"1488","Ciara",0.826,0.536,1,-5.681,0,0.0592,0.00155,5.83e-06,0.129,0.659,236120,"I'm On"
"1489","Ciara",0.657,0.786,3,-6.478,0,0.0421,0.0095,0.00449,0.156,0.844,247093,"Love Sex Magic - Versatile Radio Mix"
"1490","Ciara",0.703,0.661,6,-5.755,0,0.134,0.333,0,0.245,0.633,225693,"Ciara To The Stage"
"1491","Ciara",0.893,0.666,10,-5.089,0,0.138,0.0206,0,0.342,0.874,220426,"Love Sex Magic"
"1492","Ciara",0.789,0.686,9,-4.54,0,0.0643,0.0175,0,0.155,0.671,242533,"High Price"
"1493","Ciara",0.737,0.792,2,-5.192,1,0.0527,0.00894,2.46e-06,0.0534,0.475,271533,"Turntables"
"1494","Ciara",0.622,0.689,11,-3.653,1,0.0711,0.0625,0,0.101,0.324,267266,"Like A Surgeon"
"1495","Ciara",0.669,0.726,11,-6.372,1,0.0338,0.0215,0,0.194,0.292,272613,"Never Ever"
"1496","Ciara",0.649,0.606,7,-6.456,1,0.0407,0.0229,0,0.138,0.165,207933,"Lover's Thing"
"1497","Ciara",0.892,0.895,2,-5.808,1,0.11,0.0201,0.002,0.263,0.767,245693,"Work"
"1498","Ciara",0.719,0.917,1,-5.541,1,0.0763,0.0939,0,0.523,0.169,231986,"Pucker Up"
"1499","Ciara",0.728,0.883,1,-4.871,1,0.137,0.00777,0.00105,0.0992,0.564,217173,"G Is For Girl (A-Z)"
"1500","Ciara",0.7,0.644,7,-4.831,1,0.0352,0.0459,3.74e-05,0.164,0.427,212946,"Keep Dancin' On Me"
"1501","Ciara",0.657,0.781,11,-3.739,1,0.0387,0.0899,1.76e-06,0.304,0.579,218026,"Tell Me What Your Name Is"
"1502","Ciara",0.587,0.578,1,-5.831,0,0.0478,0.476,0,0.0635,0.222,227520,"I Don't Remember"
"1503","Ciara",0.735,0.867,5,-4.604,0,0.082,0.224,0.000363,0.151,0.794,218520,"Echo"
"1504","Ciara",0.848,0.964,6,-3.727,1,0.234,0.0643,1.6e-06,0.167,0.412,255930,"That's Right (feat. Lil Jon)"
"1505","Ciara",0.701,0.724,0,-5.751,0,0.145,0.267,0,0.0867,0.425,237053,"Like a Boy"
"1506","Ciara",0,0.139,5,-20.542,1,0,0.666,3.2e-06,0.177,0,10402,"The Evolution Of Music (Interlude)"
"1507","Ciara",0.697,0.629,9,-5.757,1,0.0425,0.409,3.8e-06,0.0819,0.439,267308,"Promise"
"1508","Ciara",0.859,0.456,11,-7.019,1,0.0742,0.00171,0.0227,0.107,0.349,253004,"I Proceed"
