"","artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"23","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.773,0.86,7,-4.966,1,0.13,0.0159,0,0.236,0.715,126.967,"7ia5l12mCvbQTeAnG1oYpg","https://api.spotify.com/v1/audio-analysis/7ia5l12mCvbQTeAnG1oYpg",4,1,259741,FALSE,"https://api.spotify.com/v1/tracks/7ia5l12mCvbQTeAnG1oYpg",FALSE,"MY POWER","https://p.scdn.co/mp3-preview/0e7501b6bd6c4768201c01fb29d24c4a37391e28?cid=841bc9c803cd42d7ae6230b2f464867f",23,"track","spotify:track:7ia5l12mCvbQTeAnG1oYpg","https://open.spotify.com/track/7ia5l12mCvbQTeAnG1oYpg","The Lion King: The Gift","G","major","G major"
"24","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0,0.155,1,-16.549,0,0,0.406,0.636,0.0973,0,0,"42VXfDBCEvcMJnwnd2suTB","https://api.spotify.com/v1/audio-analysis/42VXfDBCEvcMJnwnd2suTB",0,1,14051,FALSE,"https://api.spotify.com/v1/tracks/42VXfDBCEvcMJnwnd2suTB",FALSE,"surrender (simba & scar interlude)",NA,24,"track","spotify:track:42VXfDBCEvcMJnwnd2suTB","https://open.spotify.com/track/42VXfDBCEvcMJnwnd2suTB","The Lion King: The Gift","C#","minor","C# minor"
"25","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.45,0.453,1,-7.82,1,0.06,0.24,5.48e-06,0.12,0.0532,117.956,"1k9bH40gL6lCMIgHOsTDP8","https://api.spotify.com/v1/audio-analysis/1k9bH40gL6lCMIgHOsTDP8",4,1,186677,FALSE,"https://api.spotify.com/v1/tracks/1k9bH40gL6lCMIgHOsTDP8",FALSE,"SCAR","https://p.scdn.co/mp3-preview/4feac042b017bb1a1d9bbe58881d6a8b056bf66c?cid=841bc9c803cd42d7ae6230b2f464867f",25,"track","spotify:track:1k9bH40gL6lCMIgHOsTDP8","https://open.spotify.com/track/1k9bH40gL6lCMIgHOsTDP8","The Lion King: The Gift","C#","major","C# major"
"26","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.536,0.115,0,-20.651,1,0.0353,0.699,0.00178,0.115,0.595,32.918,"3EfKP2xSbM9Yqbd6fkNgxf","https://api.spotify.com/v1/audio-analysis/3EfKP2xSbM9Yqbd6fkNgxf",4,1,42978,FALSE,"https://api.spotify.com/v1/tracks/3EfKP2xSbM9Yqbd6fkNgxf",FALSE,"i'm home (mufasa, sarabi & simba interlude)","https://p.scdn.co/mp3-preview/901cbe182950c0d7077713b54e75306049522f95?cid=841bc9c803cd42d7ae6230b2f464867f",26,"track","spotify:track:3EfKP2xSbM9Yqbd6fkNgxf","https://open.spotify.com/track/3EfKP2xSbM9Yqbd6fkNgxf","The Lion King: The Gift","C","major","C major"
"27","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.238,0.435,5,-8.096,1,0.0497,0.00956,0,0.0981,0.0447,78.797,"6ucmgsair6pvRYfwgvI6e0","https://api.spotify.com/v1/audio-analysis/6ucmgsair6pvRYfwgvI6e0",4,1,277030,FALSE,"https://api.spotify.com/v1/tracks/6ucmgsair6pvRYfwgvI6e0",FALSE,"SPIRIT - From Disney's ""The Lion King""","https://p.scdn.co/mp3-preview/0a3e900fb7ef798fa4cec851abdd957f1d82c645?cid=841bc9c803cd42d7ae6230b2f464867f",27,"track","spotify:track:6ucmgsair6pvRYfwgvI6e0","https://open.spotify.com/track/6ucmgsair6pvRYfwgvI6e0","The Lion King: The Gift","F","major","F major"
"28","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.25,0.215,8,-13.676,0,0.037,0.632,0.0717,0.401,0.0746,174.824,"7rLDARtJALM7QdiJDMXW7m","https://api.spotify.com/v1/audio-analysis/7rLDARtJALM7QdiJDMXW7m",3,1,195986,FALSE,"https://api.spotify.com/v1/tracks/7rLDARtJALM7QdiJDMXW7m",FALSE,"Pray You Catch Me","https://p.scdn.co/mp3-preview/88351cf8f3e5023b03b9ae0add806ad44288f22b?cid=841bc9c803cd42d7ae6230b2f464867f",1,"track","spotify:track:7rLDARtJALM7QdiJDMXW7m","https://open.spotify.com/track/7rLDARtJALM7QdiJDMXW7m","Lemonade","G#","minor","G# minor"
"29","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.524,0.397,0,-11.936,1,0.405,0.745,0,0.521,0.552,80.744,"0rzNMzZsubFcXSEh7dnem7","https://api.spotify.com/v1/audio-analysis/0rzNMzZsubFcXSEh7dnem7",4,1,221093,TRUE,"https://api.spotify.com/v1/tracks/0rzNMzZsubFcXSEh7dnem7",FALSE,"Hold Up","https://p.scdn.co/mp3-preview/45ca175a1ceffc733b2d62dfc49e6ede386415c1?cid=841bc9c803cd42d7ae6230b2f464867f",2,"track","spotify:track:0rzNMzZsubFcXSEh7dnem7","https://open.spotify.com/track/0rzNMzZsubFcXSEh7dnem7","Lemonade","C","major","C major"
"30","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.614,0.686,9,-6.483,0,0.21,0.0105,1.36e-06,0.184,0.645,136.537,"78eouBKVRyhbSzJwChr6QM","https://api.spotify.com/v1/audio-analysis/78eouBKVRyhbSzJwChr6QM",4,1,233666,TRUE,"https://api.spotify.com/v1/tracks/78eouBKVRyhbSzJwChr6QM",FALSE,"Don't Hurt Yourself (feat. Jack White)","https://p.scdn.co/mp3-preview/ca8aa1d17b603b92587e4e850979b19ea5d61a3b?cid=841bc9c803cd42d7ae6230b2f464867f",3,"track","spotify:track:78eouBKVRyhbSzJwChr6QM","https://open.spotify.com/track/78eouBKVRyhbSzJwChr6QM","Lemonade","A","minor","A minor"
"31","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,"0lnIJmgcUpEpe4AZACjayW","https://api.spotify.com/v1/audio-analysis/0lnIJmgcUpEpe4AZACjayW",4,1,232560,TRUE,"https://api.spotify.com/v1/tracks/0lnIJmgcUpEpe4AZACjayW",FALSE,"Sorry","https://p.scdn.co/mp3-preview/5f4f6414a73c124d629ffe0b0bc8aa679ef10a7c?cid=841bc9c803cd42d7ae6230b2f464867f",4,"track","spotify:track:0lnIJmgcUpEpe4AZACjayW","https://open.spotify.com/track/0lnIJmgcUpEpe4AZACjayW","Lemonade","D","major","D major"
"32","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,"0pxNyJJiL2zZZ5GgJ4JhsQ","https://api.spotify.com/v1/audio-analysis/0pxNyJJiL2zZZ5GgJ4JhsQ",4,1,260440,TRUE,"https://api.spotify.com/v1/tracks/0pxNyJJiL2zZZ5GgJ4JhsQ",FALSE,"6 Inch (feat. The Weeknd)","https://p.scdn.co/mp3-preview/4c37b4f1134701ab01d4b7159137adeab8e5fdad?cid=841bc9c803cd42d7ae6230b2f464867f",5,"track","spotify:track:0pxNyJJiL2zZZ5GgJ4JhsQ","https://open.spotify.com/track/0pxNyJJiL2zZZ5GgJ4JhsQ","Lemonade","F#","major","F# major"
"33","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.643,0.503,7,-8.37,1,0.216,0.273,0,0.349,0.598,90.886,"71OvX5NNLrmz7rpq1ANTQn","https://api.spotify.com/v1/audio-analysis/71OvX5NNLrmz7rpq1ANTQn",4,1,287986,FALSE,"https://api.spotify.com/v1/tracks/71OvX5NNLrmz7rpq1ANTQn",FALSE,"Daddy Lessons","https://p.scdn.co/mp3-preview/aa63f0afae4514f698085d43fe30f3e237e9f8b7?cid=841bc9c803cd42d7ae6230b2f464867f",6,"track","spotify:track:71OvX5NNLrmz7rpq1ANTQn","https://open.spotify.com/track/71OvX5NNLrmz7rpq1ANTQn","Lemonade","G","major","G major"
"34","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.455,0.535,9,-10.602,0,0.0426,0.0209,0.64,0.126,0.216,157.01,"2RQAG0wQt35UzAPEyVJFWN","https://api.spotify.com/v1/audio-analysis/2RQAG0wQt35UzAPEyVJFWN",4,1,237440,FALSE,"https://api.spotify.com/v1/tracks/2RQAG0wQt35UzAPEyVJFWN",FALSE,"Love Drought","https://p.scdn.co/mp3-preview/b06ef3adf5b871065002328b3949e0ca341057fd?cid=841bc9c803cd42d7ae6230b2f464867f",7,"track","spotify:track:2RQAG0wQt35UzAPEyVJFWN","https://open.spotify.com/track/2RQAG0wQt35UzAPEyVJFWN","Lemonade","A","minor","A minor"
"35","Beyoncé","6vWDO969PvNqNYHIOW5v0m","7dK54iZuOxXFarGhXwEXfF","album","2016-04-23",2016,"day",0.33,0.357,10,-10.171,1,0.0348,0.866,1.76e-05,0.19,0.101,84.119,"2FNPJWVdGxYhWaotd6rULS","https://api.spotify.com/v1/audio-analysis/2FNPJWVdGxYhWaotd6rULS",3,1,182720,TRUE,"https://api.spotify.com/v1/tracks/2FNPJWVdGxYhWaotd6rULS",FALSE,"Sandcastles","https://p.scdn.co/mp3-preview/4bbf704b5d7731153324eda2210955084e0214c1?cid=841bc9c803cd42d7ae6230b2f464867f",8,"track","spotify:track:2FNPJWVdGxYhWaotd6rULS","https://open.spotify.com/track/2FNPJWVdGxYhWaotd6rULS","Lemonade","A#","major","A# major"
