"","artist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","duration_ms","track_name"
"176","Beyoncé",0.492,0.348,5,-10.676,1,0.0301,0.128,0,0.326,0.206,267453,"Disappear"
"177","Beyoncé",0.336,0.424,5,-7.203,1,0.0353,0.503,0,0.274,0.159,277626,"Broken-Hearted Girl"
"178","Beyoncé",0.35,0.403,0,-9.57,1,0.0279,0.786,0,0.108,0.201,221653,"Ave Maria"
"179","Beyoncé",0.572,0.429,1,-8.974,1,0.027,0.192,0,0.257,0.103,271613,"Smash Into You"
"180","Beyoncé",0.384,0.153,7,-14.55,1,0.0324,0.729,0,0.137,0.282,186826,"Satellites"
"181","Beyoncé",0.549,0.628,2,-7.45,1,0.0309,0.00908,2.06e-05,0.114,0.102,221466,"That's Why You're Beautiful"
"182","Beyoncé",0.551,0.467,10,-10.364,1,0.0332,0.673,0,0.075,0.148,273880,"Save The Hero"
"183","Beyoncé",0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193213,"Single Ladies (Put a Ring on It)"
"184","Beyoncé",0.605,0.763,1,-5.949,1,0.0775,0.129,2.41e-06,0.0855,0.553,218786,"Radio"
"185","Beyoncé",0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0568,0.861,200613,"Diva"
"186","Beyoncé",0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0614,0.788,208066,"Sweet Dreams"
"187","Beyoncé",0.479,0.763,8,-8.954,1,0.178,0.00242,0.0353,0.468,0.608,215440,"Video Phone"
"188","Beyoncé",0.33,0.769,6,-5.755,1,0.17,0.206,1.54e-06,0.138,0.416,256533,"Hello"
"189","Beyoncé",0.623,0.389,1,-7.816,1,0.241,0.155,0,0.153,0.489,236360,"Ego"
"190","Beyoncé",0.534,0.575,1,-6.706,1,0.0519,0.0546,0,0.131,0.205,222920,"Scared of Lonely"
"191","Beyoncé",0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,249146,"If I Were a Boy"
"192","Beyoncé",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,261640,"Halo"
"193","Beyoncé",0.492,0.348,5,-10.676,1,0.0301,0.128,0,0.326,0.206,267453,"Disappear"
"194","Beyoncé",0.336,0.424,5,-7.203,1,0.0353,0.503,0,0.273,0.159,277626,"Broken-Hearted Girl"
"195","Beyoncé",0.35,0.403,0,-9.57,1,0.0279,0.786,0,0.12,0.201,221653,"Ave Maria"
"196","Beyoncé",0.572,0.429,1,-8.974,1,0.0271,0.192,0,0.263,0.103,271613,"Smash Into You"
"197","Beyoncé",0.384,0.153,7,-14.55,1,0.0324,0.729,0,0.116,0.282,186826,"Satellites"
"198","Beyoncé",0.549,0.628,2,-7.45,1,0.0309,0.00908,2.06e-05,0.128,0.102,221466,"That's Why You're Beautiful"
"199","Beyoncé",0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193213,"Single Ladies (Put a Ring on It)"
"200","Beyoncé",0.605,0.763,1,-5.949,1,0.0775,0.129,2.41e-06,0.0839,0.553,218786,"Radio"
